merchant_id,transaction_velocity,avg_transaction_value,refund_rate,chargeback_rate,business_age_days,category_mismatch_score,night_txn_ratio,unique_customer_ratio,geographic_spread,incomplete_profile_score,label
M-01768,61.2587,936.2692,0.0551,0.009,924,0.077,0.0846,0.3992,6,0.1419,0
M-01769,33.4144,659.3377,0.0772,0.0016,436,0.1093,0.1201,0.4496,1,0.0838,0
M-01770,65.1127,660.5045,0.0689,0.0018,556,0.0092,0.0849,0.6611,5,0.1326,0
M-01771,49.0611,551.4478,0.0766,0.0012,705,0.1031,0.048,0.7087,7,0.098,0
M-01772,64.297,519.0447,0.0371,0.0141,555,0.0425,0.0831,0.4413,7,0.0421,0
M-01773,63.0848,138.5022,0.0534,0.0079,1049,0.1042,0.1255,0.5775,5,0.1455,0
M-01774,33.3926,1012.3964,0.0353,0.0086,502,0.0834,0.0947,0.4678,5,0.0174,0
M-01775,35.2129,898.839,0.033,0.0111,475,0.0855,0.0641,0.8117,3,0.0148,0
M-01776,50.4248,234.8928,0.0118,0.0061,559,0.1154,0.064,0.4815,7,0.1121,0
M-01777,82.847,938.584,0.0618,0.0144,261,0.0765,0.0827,0.7084,4,0.0657,1
M-01778,64.7265,794.7563,0.0565,0.0098,329,0.0833,0.0882,0.3897,6,0.0308,0
M-01779,32.2395,920.2778,0.0346,0.0145,917,0.0607,0.0814,0.3261,5,0.0051,1
M-01780,43.805,1117.0173,0.0474,0.0033,30,0.1215,0.0966,0.5963,3,0.1295,0
M-01781,51.5884,785.043,0.0319,0.002,1241,0.102,0.0298,0.2925,4,0.1248,0
M-01782,84.0002,609.8122,0.0443,0.0133,30,0.2837,0.0861,0.5101,8,0.2059,1
M-01783,58.9584,1109.2745,0.0587,0.0126,512,0.1282,0.0944,0.7719,3,0.0754,0
M-01784,55.9226,604.0288,0.0972,0.0235,223,0.1556,0.17,0.5597,5,0.3469,1
M-01785,46.4517,1391.8267,0.0138,0.0042,255,0.0983,0.0691,0.5231,3,0.13,0
M-01786,56.9373,892.594,0.0327,0.0103,1067,0.0207,0.0622,0.8494,4,0.0124,0
M-01787,53.3668,1337.1655,0.0549,0.0083,237,0.0918,0.095,0.4656,1,0.0367,1
M-01788,71.545,1585.711,0.0105,0.0147,718,0.0558,0.0479,0.3098,7,0.0762,0
M-01789,64.2433,751.1532,0.0216,0.0111,600,0.0074,0.1282,0.6079,2,0.0929,0
M-01790,37.6188,772.5863,0.0388,0.0147,480,0.0746,0.0599,0.7565,4,0.1206,0
M-01791,46.1068,1366.6465,0.011,0.0148,554,0.0793,0.0832,0.6894,3,0.0363,0
M-01792,103.5586,432.7956,0.0741,0.0048,855,0.1578,0.2141,0.5975,9,0.1658,1
M-01793,62.4077,997.4517,0.0472,0.0111,515,0.0959,0.0734,0.8265,1,0.0687,0
M-01794,105.7828,956.0257,0.0719,0.0032,269,0.0809,0.2002,0.6312,2,0.0771,1
M-01795,52.1441,579.5873,0.0212,0.0117,691,0.0017,0.0997,0.4564,4,0.0269,0
M-01796,39.2023,725.4699,0.0446,0.0071,1440,0.0861,0.0813,0.7261,3,0.1053,0
M-01797,80.7029,1203.9966,0.0171,0.0086,922,0.0628,0.0177,0.5697,6,0.1134,0
M-01798,71.0938,1010.0445,0.0729,0.0051,784,0.0789,0.0892,0.7258,9,0.195,0
M-01799,42.5937,880.2373,0.0274,0.0086,737,0.057,0.1397,0.6644,3,0.0756,0
M-01800,44.5024,719.2707,0.0266,0.0076,1448,0.0111,0.0765,0.4211,5,0.087,0
M-01801,47.4472,704.9149,0.0289,0.0045,755,0.0762,0.1053,0.5717,4,0.0235,0
M-01802,63.3148,858.6327,0.0316,0.0067,849,0.116,0.0781,0.4914,1,0.033,0
M-01803,46.2696,832.8876,0.0553,0.0075,697,0.0749,0.0391,0.622,7,0.0659,1
M-01804,55.8604,997.4337,0.0717,0.0124,1537,0.056,0.0382,0.6376,4,0.1416,1
M-01805,58.2972,916.1892,0.0583,0.0106,441,0.1217,0.0656,0.5951,1,0.1014,0
M-01806,48.0572,586.7548,0.0783,0.0119,925,0.1007,0.1004,0.5703,6,0.1497,0
M-01807,26.1185,859.1833,0.063,0.0035,842,0.3107,0.104,0.6098,2,0.1926,1
M-01808,31.4328,1141.9305,0.0329,0.0024,1269,0.0777,0.0703,0.7205,3,0.1127,0
M-01809,79.267,1113.1433,0.0644,0.0083,430,0.2671,0.1884,0.7763,9,0.307,1
M-01810,33.1592,1055.6769,0.0715,0.0149,1534,0.1163,0.1035,0.5883,2,0.1249,0
M-01811,22.002,927.6309,0.0222,0.0044,1044,0.1341,0.1297,0.5274,3,0.1117,0
M-01812,58.9213,620.1638,0.0596,0.0129,698,0.0581,0.0967,0.5651,3,0.0439,0
M-01813,56.5484,623.8414,0.0315,0.0139,1161,0.1453,0.1246,0.6424,2,0.0208,0
M-01814,75.4358,668.296,0.0231,0.0056,464,0.0947,0.0786,0.4678,4,0.1365,0
M-01815,23.7226,815.2009,0.0544,0.0018,1030,0.0006,0.0567,0.5919,6,0.1378,0
M-01816,43.0339,671.7367,0.0575,0.0083,830,0.0151,0.0554,0.6831,3,0.0166,0
M-01817,54.3043,430.2315,0.0248,0.0059,808,0.0297,0.0942,0.6545,1,0.1466,0
M-01818,42.35,580.5393,0.0599,0.0238,721,0.095,0.1364,0.5214,6,0.2036,1
M-01819,96.6488,1143.5373,0.0104,0.0141,437,0.0914,0.0824,0.3098,5,0.1225,0
M-01820,31.2269,1086.9759,0.0128,0.0074,271,0.0538,0.0759,0.6473,3,0.1285,0
M-01821,120.7657,1205.0627,0.0961,0.02,542,0.2807,0.1141,0.5606,9,0.1823,1
M-01822,38.2437,947.3975,0.0498,0.0074,537,0.0078,0.0785,0.5714,2,0.0519,0
M-01823,27.127,300.5541,0.0483,0.0202,30,0.2602,0.1827,0.8243,7,0.0813,1
M-01824,54.7423,892.9919,0.0237,0.0021,908,0.058,0.0533,0.3289,1,0.0595,0
M-01825,68.9388,734.6629,0.0393,0.0025,1017,0.066,0.0586,0.394,3,0.0146,0
M-01826,55.6582,921.5665,0.0334,0.0096,171,0.1292,0.0912,0.5759,7,0.0534,0
M-01827,76.2437,868.6994,0.0704,0.0097,30,0.0188,0.0618,0.7511,3,0.0331,0
M-01828,51.3005,696.8175,0.0479,0.0083,852,0.0039,0.1022,0.7162,7,0.0695,0
M-01829,54.697,991.153,0.0226,0.0146,898,0.0262,0.0719,0.387,4,0.0416,0
M-01830,60.339,50.0,0.0993,0.0241,651,0.1081,0.1115,0.4825,6,0.2561,1
M-01831,61.2187,898.3899,0.0655,0.0028,1007,0.1134,0.1253,0.5441,5,0.149,0
M-01832,72.1303,864.248,0.0106,0.0114,1175,0.0179,0.1138,0.3703,7,0.0378,0
M-01833,57.7402,750.149,0.0887,0.0074,229,0.232,0.2865,0.8079,3,0.2437,0
M-01834,48.865,746.4688,0.0312,0.0137,1349,0.1207,0.0918,0.645,5,0.0755,0
M-01835,42.4138,1175.9142,0.0772,0.0054,537,0.1367,0.0478,0.4851,5,0.0255,0
M-01836,36.5179,769.7219,0.0302,0.011,388,0.2933,0.2003,0.4609,10,0.1534,1
M-01837,44.5458,1066.8481,0.067,0.0092,685,0.1321,0.0785,0.6005,6,0.1257,0
M-01838,80.1841,184.0666,0.0419,0.0125,741,0.1132,0.0402,0.2631,5,0.1113,0
M-01839,34.1164,950.011,0.0464,0.0048,957,0.0768,0.0772,0.422,5,0.0452,0
M-01840,68.8543,1167.4339,0.0317,0.0104,30,0.2808,0.1681,0.6247,9,0.2756,1
M-01841,58.2065,790.9235,0.0433,0.0086,1476,0.0218,0.0283,0.5242,1,0.0022,0
M-01842,45.1652,856.0319,0.0461,0.0105,1023,0.0075,0.0633,0.4073,7,0.1137,0
M-01843,38.483,1035.9216,0.0568,0.0033,449,0.1484,0.0802,0.4675,1,0.0071,0
M-01844,53.3614,692.3107,0.0417,0.0134,1130,0.113,0.1174,0.5797,3,0.1002,0
M-01845,51.1136,918.1328,0.11,0.0118,30,0.0926,0.1061,0.801,8,0.1388,0
M-01846,47.9083,449.0294,0.0171,0.0147,1224,0.0083,0.0584,0.4632,3,0.0049,0
M-01847,52.8327,1315.4613,0.0668,0.0093,355,0.178,0.1041,0.7265,10,0.3083,1
M-01848,78.3806,778.0079,0.0763,0.0206,754,0.0625,0.1423,0.9061,6,0.337,1
M-01849,54.9771,476.7289,0.117,0.0069,30,0.0568,0.0458,0.8015,5,0.2699,0
M-01850,64.628,734.8376,0.0271,0.0106,704,0.079,0.0767,0.4879,4,0.0216,0
M-01851,28.8154,823.5726,0.0684,0.0012,1051,0.1393,0.057,0.3859,2,0.0878,0
M-01852,48.9425,1175.2595,0.0539,0.0062,689,0.0507,0.1042,0.4173,5,0.0268,0
M-01853,66.1148,482.5,0.0273,0.0012,620,0.0,0.0674,0.4618,6,0.0108,0
M-01854,94.7789,827.522,0.0522,0.003,399,0.0222,0.0596,0.7778,1,0.0043,0
M-01855,42.7195,947.3376,0.017,0.0133,431,0.026,0.0499,0.4614,2,0.0852,0
M-01856,23.5879,978.5026,0.044,0.0133,1001,0.0299,0.0752,0.8072,6,0.138,0
M-01857,24.4493,747.8204,0.0189,0.003,583,0.1138,0.0915,0.8271,7,0.0259,0
M-01858,63.4608,773.1102,0.0643,0.0247,30,0.2913,0.1253,0.5228,1,0.3406,1
M-01859,76.3321,1118.2698,0.0562,0.0096,542,0.0804,0.0633,0.4485,6,0.0991,0
M-01860,40.584,1109.0312,0.0284,0.0149,468,0.1298,0.0879,0.5802,1,0.0576,0
M-01861,48.5313,572.6928,0.0469,0.0025,466,0.1456,0.0841,0.6931,2,0.1252,0
M-01862,57.2403,934.9159,0.0343,0.0032,928,0.0742,0.1309,0.5293,6,0.1097,0
M-01863,83.6644,1246.9651,0.0489,0.0227,86,0.264,0.1953,0.4986,9,0.3149,1
M-01864,69.1309,779.8307,0.0124,0.006,717,0.0151,0.1011,0.4818,4,0.1195,0
M-01865,40.5263,1350.1771,0.0693,0.006,30,0.0531,0.035,0.3989,6,0.0144,0
M-01866,51.4418,431.3654,0.0318,0.0027,860,0.0396,0.1074,0.8809,3,0.0764,0
M-01867,31.3736,691.7833,0.0103,0.0108,1414,0.1056,0.1162,0.5484,1,0.1013,0
M-01868,22.0019,1098.7971,0.0297,0.007,1042,0.129,0.0689,0.6987,3,0.0927,0
M-01869,74.124,1179.4908,0.0715,0.0222,868,0.2397,0.1566,0.5121,1,0.2549,1
M-01870,68.0583,581.3716,0.0578,0.011,988,0.0886,0.0715,0.535,7,0.0485,0
M-01871,59.4917,848.2136,0.0456,0.006,1109,0.1025,0.1075,0.4938,6,0.0583,0
M-01872,65.807,559.0769,0.0593,0.0142,179,0.0715,0.1323,0.4825,3,0.1401,0
M-01873,55.9905,584.623,0.0448,0.0218,126,0.2201,0.0944,0.5445,1,0.3389,1
M-01874,67.3039,1425.5819,0.0112,0.0143,1041,0.0238,0.0708,0.4187,6,0.103,0
M-01875,64.7817,527.6017,0.0572,0.0129,1167,0.0145,0.0746,0.6003,2,0.0287,0
M-01876,54.65,218.6252,0.0264,0.0029,811,0.1135,0.0572,0.5131,1,0.0104,0
M-01877,45.1948,896.5975,0.0564,0.0046,587,0.0574,0.0709,0.6191,2,0.0264,0
M-01878,50.9252,967.3384,0.0501,0.002,916,0.0009,0.1093,0.774,2,0.0606,0
M-01879,55.9883,1069.3002,0.0761,0.0115,201,0.1006,0.0469,0.5597,7,0.0417,0
M-01880,60.6418,1016.7824,0.0655,0.0013,1199,0.0081,0.0872,0.6641,4,0.01,0
M-01881,47.713,1047.7163,0.0282,0.0106,886,0.1275,0.0821,0.7287,7,0.0841,0
M-01882,61.8556,830.0653,0.0388,0.0059,1472,0.0512,0.0862,0.295,1,0.0338,0
M-01883,42.2091,575.3569,0.0699,0.014,1207,0.125,0.0639,0.5244,1,0.0771,0
M-01884,35.3367,953.2162,0.0477,0.0106,747,0.1132,0.017,0.7768,3,0.1143,0
M-01885,57.5164,910.6841,0.0309,0.0059,543,0.0027,0.0705,0.4716,7,0.1412,0
M-01886,58.5337,681.628,0.1099,0.0115,390,0.0651,0.086,0.5322,10,0.1432,1
M-01887,19.7227,728.7529,0.055,0.0143,1089,0.1499,0.0581,0.5383,5,0.0775,0
M-01888,10.2355,593.149,0.0643,0.0104,677,0.1313,0.0808,0.5736,5,0.0435,0
M-01889,120.6675,398.7062,0.0992,0.0151,30,0.2172,0.1322,0.6544,5,0.0952,1
M-01890,52.8564,943.1418,0.0377,0.0103,989,0.0479,0.0936,0.7077,5,0.0089,0
M-01891,74.1949,331.895,0.0982,0.0228,36,0.1768,0.25,0.95,11,0.2136,1
M-01892,45.0482,1172.5665,0.0343,0.0031,956,0.0404,0.0469,0.609,7,0.1274,0
M-01893,36.3837,927.176,0.0305,0.0092,30,0.1103,0.0794,0.3241,1,0.0379,0
M-01894,122.5433,954.8347,0.0326,0.0087,189,0.3208,0.1107,0.605,8,0.1836,1
M-01895,84.2248,825.4317,0.0457,0.0034,30,0.0686,0.0231,0.6643,5,0.1493,0
M-01896,50.337,1309.1004,0.0644,0.0036,1100,0.1353,0.0198,0.6723,3,0.0476,1
M-01897,34.6396,1441.7033,0.0485,0.0142,281,0.0187,0.076,0.2047,5,0.0848,0
M-01898,48.8904,457.667,0.0376,0.0076,733,0.0698,0.0615,0.545,3,0.1132,0
M-01899,42.2717,661.7738,0.0386,0.0076,354,0.0787,0.1152,0.677,2,0.0764,0
M-01900,60.5046,1066.571,0.0319,0.0069,521,0.1421,0.0459,0.2913,2,0.1133,0
M-01901,39.0759,969.114,0.0289,0.0077,980,0.0054,0.1079,0.6017,4,0.1182,0
M-01902,63.9087,999.423,0.0494,0.0226,1224,0.0511,0.1501,0.737,3,0.0592,1
M-01903,56.3014,748.2066,0.0685,0.0098,623,0.1045,0.085,0.4314,3,0.0618,0
M-01904,59.2732,1335.7153,0.0848,0.004,586,0.3252,0.1857,0.2971,11,0.1115,1
M-01905,61.1938,503.9523,0.037,0.0072,1704,0.1105,0.0589,0.6128,3,0.0606,0
M-01906,60.9781,834.6644,0.0528,0.0027,1150,0.1194,0.1223,0.717,4,0.0935,0
M-01907,45.271,863.6474,0.0405,0.0023,919,0.0067,0.0638,0.5455,6,0.1313,0
M-01908,26.8141,1067.3473,0.0517,0.0056,936,0.1057,0.0757,0.3775,6,0.0603,0
M-01909,81.0346,453.8041,0.0306,0.0246,30,0.3466,0.1188,0.5654,6,0.1066,1
M-01910,59.239,1008.0694,0.0279,0.007,274,0.0464,0.0641,0.6364,7,0.0005,0
M-01911,49.9494,435.3947,0.0609,0.005,1230,0.1296,0.1093,0.5468,2,0.1,0
M-01912,65.2649,959.3684,0.0529,0.0143,1164,0.0526,0.0591,0.4762,2,0.1277,0
M-01913,11.565,1015.5893,0.0473,0.0013,1008,0.0905,0.0401,0.8066,5,0.1404,1
M-01914,39.1401,50.0,0.0379,0.0107,629,0.0594,0.0324,0.6771,5,0.0452,1
M-01915,57.2337,799.5099,0.043,0.0106,1063,0.0555,0.0532,0.6688,4,0.1489,0
M-01916,54.0023,724.6651,0.0756,0.011,661,0.0034,0.1183,0.6292,5,0.0199,0
M-01917,46.3604,783.7658,0.0806,0.0104,445,0.261,0.0922,0.4731,2,0.2032,1
M-01918,1.0,1147.5853,0.1174,0.0216,504,0.0577,0.177,0.5412,6,0.1708,1
M-01919,36.7421,1179.1901,0.0275,0.0091,1220,0.1384,0.1327,0.4647,4,0.0359,0
M-01920,45.0356,828.988,0.1007,0.0241,152,0.0542,0.0736,0.7559,4,0.1777,0
M-01921,43.1436,790.7139,0.029,0.0116,283,0.1339,0.0489,0.7852,7,0.148,0
M-01922,72.9613,688.3717,0.0141,0.0018,808,0.0723,0.0,0.3828,1,0.0816,0
M-01923,67.8259,1140.3478,0.0767,0.0106,558,0.1399,0.1002,0.6301,2,0.0348,0
M-01924,63.3388,421.5569,0.0559,0.0225,639,0.2262,0.1751,0.5595,4,0.3459,1
M-01925,40.5903,886.5533,0.0433,0.0083,280,0.0164,0.0804,0.633,3,0.0198,0
M-01926,44.1042,269.371,0.0502,0.0123,455,0.0449,0.1025,0.715,5,0.1387,0
M-01927,76.9808,485.4807,0.0311,0.0242,195,0.2054,0.1362,0.6137,9,0.1219,1
M-01928,44.6106,1332.8562,0.0428,0.0102,1051,0.0122,0.0584,0.6718,3,0.128,0
M-01929,27.7265,1352.4579,0.0382,0.0124,379,0.0241,0.0732,0.5782,3,0.1416,0
M-01930,55.4245,493.2303,0.012,0.014,710,0.1213,0.0515,0.5654,7,0.1193,0
M-01931,37.8505,517.0437,0.099,0.0138,376,0.0543,0.1941,0.6586,9,0.0606,1
M-01932,36.6321,1055.249,0.0692,0.0123,1252,0.0712,0.0361,0.626,2,0.0789,0
M-01933,21.9381,1285.6353,0.0564,0.0048,529,0.1187,0.0975,0.714,6,0.1314,0
M-01934,31.1363,803.8007,0.0771,0.0031,1104,0.0634,0.0572,0.1973,1,0.0411,0
M-01935,54.4418,1028.6473,0.0641,0.0141,451,0.1091,0.0729,0.1891,1,0.0214,0
M-01936,126.0135,733.7568,0.0306,0.0226,30,0.0979,0.1759,0.297,2,0.24,1
M-01937,51.1573,1203.6598,0.0412,0.0018,971,0.1096,0.1042,0.5555,4,0.117,1
M-01938,31.537,851.269,0.0401,0.009,596,0.1011,0.0979,0.671,2,0.1313,0
M-01939,64.4596,586.2116,0.035,0.0207,1340,0.0633,0.1058,0.5861,4,0.1264,1
M-01940,40.4696,1123.7861,0.0442,0.0121,574,0.0058,0.0438,0.1893,3,0.1348,0
M-01941,116.8979,412.7799,0.088,0.0243,275,0.2932,0.0937,0.6669,8,0.275,1
M-01942,73.0595,842.2384,0.0349,0.0115,231,0.1629,0.1688,0.8073,1,0.052,1
M-01943,51.8401,468.7145,0.0104,0.01,464,0.0123,0.0923,0.5289,2,0.0043,0
M-01944,62.7916,960.0442,0.0116,0.0045,942,0.0825,0.0956,0.5262,1,0.0242,1
M-01945,6.9161,1135.7386,0.0253,0.0055,880,0.0209,0.0672,0.738,3,0.0208,0
M-01946,51.8957,1363.3086,0.0473,0.0122,852,0.0805,0.0567,0.2839,1,0.0451,0
M-01947,52.9038,1029.4297,0.0576,0.0117,876,0.0103,0.0682,0.6204,1,0.0324,0
M-01948,53.2097,1198.8516,0.0738,0.0048,796,0.009,0.0528,0.6496,3,0.1227,0
M-01949,45.5905,1245.4591,0.0594,0.0058,819,0.1188,0.0867,0.6199,4,0.143,0
M-01950,53.3632,393.2997,0.0231,0.0053,845,0.1284,0.085,0.5632,7,0.0155,1
M-01951,62.8376,724.2881,0.1094,0.0105,287,0.0823,0.2365,0.8548,8,0.0611,1
M-01952,65.5631,847.566,0.0355,0.0086,922,0.1223,0.1189,0.7171,5,0.0105,0
M-01953,31.0325,885.2766,0.0774,0.0134,940,0.1407,0.1197,0.5919,3,0.0564,0
M-01954,42.3318,1228.4558,0.0542,0.0059,546,0.0031,0.0988,0.3087,4,0.1018,0
M-01955,49.0598,701.5104,0.0644,0.0113,714,0.0095,0.0744,0.3822,1,0.0192,0
M-01956,58.8879,1329.8413,0.038,0.0115,1252,0.0624,0.1171,0.4589,5,0.1496,0
M-01957,41.2992,495.4054,0.0587,0.0035,582,0.1404,0.1002,0.7463,1,0.0451,1
M-01958,57.4878,802.8681,0.0364,0.0088,705,0.15,0.1594,0.8135,4,0.084,1
M-01959,25.1767,473.7517,0.0173,0.0078,545,0.1403,0.1016,0.3414,4,0.0408,0
M-01960,42.0642,550.5363,0.0519,0.0087,782,0.044,0.0671,0.4619,6,0.043,0
M-01961,42.7522,1064.7203,0.0758,0.0143,1391,0.0473,0.0653,0.3924,3,0.0469,0
M-01962,69.1928,136.3012,0.0241,0.0021,432,0.1209,0.1092,0.4345,7,0.1029,0
M-01963,37.9523,1164.6592,0.0749,0.0109,1340,0.083,0.0442,0.6204,4,0.0881,0
M-01964,78.4665,1666.5736,0.0653,0.0034,1239,0.123,0.1194,0.6005,2,0.0679,0
M-01965,39.5132,639.929,0.1156,0.0123,30,0.1178,0.0184,0.5977,4,0.328,0
M-01966,53.7574,831.8789,0.0466,0.0118,299,0.0777,0.0566,0.2267,6,0.0431,0
M-01967,58.0744,860.1708,0.039,0.0084,916,0.0574,0.0447,0.7247,4,0.1337,0
M-01968,38.5591,983.961,0.0441,0.0088,1082,0.1306,0.1289,0.6666,7,0.059,0
M-01969,57.039,695.2284,0.0635,0.0092,792,0.0288,0.1078,0.6651,5,0.1235,0
M-01970,45.3619,817.9086,0.0103,0.0032,506,0.1061,0.0249,0.7124,5,0.125,1
M-01971,42.0536,1191.8667,0.0236,0.001,779,0.1381,0.0845,0.7672,3,0.1233,0
M-01972,34.4714,450.0615,0.0527,0.0148,739,0.076,0.0423,0.6149,7,0.1102,0
M-01973,36.523,1174.6337,0.0682,0.0058,591,0.0738,0.0872,0.5169,1,0.0026,0
M-01974,53.7836,453.5333,0.0521,0.0089,721,0.0589,0.0803,0.3425,7,0.0527,0
M-01975,46.765,334.6984,0.0185,0.0044,271,0.1174,0.1155,0.7904,6,0.0307,0
M-01976,68.7443,834.7598,0.0692,0.0149,306,0.0041,0.072,0.7359,7,0.0912,0
M-01977,40.3778,980.4823,0.0569,0.0137,1069,0.0009,0.0581,0.5417,3,0.0523,0
M-01978,39.6162,866.2155,0.0487,0.0031,977,0.0903,0.0964,0.6275,5,0.0992,0
M-01979,53.8799,288.0983,0.0596,0.0026,1164,0.0202,0.1087,0.549,1,0.1109,1
M-01980,36.2202,494.0991,0.0763,0.0079,1493,0.0028,0.0687,0.4261,5,0.0693,0
M-01981,62.7865,826.5308,0.0644,0.0015,234,0.0357,0.0301,0.5543,1,0.0053,0
M-01982,43.9415,816.8897,0.0585,0.0053,672,0.0952,0.0764,0.6168,10,0.1356,1
M-01983,43.8286,682.9664,0.048,0.0092,1411,0.101,0.0875,0.6813,7,0.0258,0
M-01984,48.34,1259.9168,0.0304,0.0111,1040,0.1438,0.0701,0.5669,6,0.0092,1
M-01985,55.6565,669.662,0.0539,0.009,1285,0.0252,0.0608,0.5181,1,0.0457,1
M-01986,45.7269,1096.6198,0.045,0.0078,643,0.1466,0.0805,0.8347,5,0.1429,0
M-01987,53.2114,1235.2287,0.0162,0.0026,1176,0.1105,0.1551,0.4607,7,0.0279,0
M-01988,56.7154,764.8164,0.0535,0.0231,772,0.3371,0.1866,0.8631,10,0.3306,1
M-01989,98.5581,616.6708,0.078,0.0163,834,0.2277,0.1147,0.5531,4,0.1269,1
M-01990,77.6996,1374.4411,0.0603,0.0044,250,0.0683,0.1437,0.324,5,0.0026,0
M-01991,38.9671,449.2413,0.0454,0.0054,814,0.1293,0.0532,0.3638,2,0.0312,1
M-01992,1.0,895.8746,0.0624,0.0172,30,0.2675,0.14,0.5647,2,0.2352,0
M-01993,47.2521,1107.0927,0.0799,0.013,930,0.039,0.1078,0.6765,2,0.1247,0
M-01994,46.8639,809.5066,0.0601,0.0054,574,0.1031,0.0828,0.7291,7,0.1083,1
M-01995,30.5211,727.0588,0.1122,0.0122,455,0.2444,0.1532,0.5289,8,0.1365,1
M-01996,57.4661,1032.3521,0.0672,0.012,1056,0.113,0.0418,0.4641,5,0.1334,0
M-01997,61.0343,854.2015,0.0114,0.0048,745,0.0041,0.043,0.4071,5,0.0277,0
M-01998,58.4432,894.1894,0.036,0.0012,247,0.0558,0.0857,0.4884,7,0.0423,1
M-01999,12.0457,1051.7168,0.0332,0.002,1104,0.0461,0.1344,0.8359,6,0.0017,0
M-02000,43.1425,272.2156,0.1119,0.0048,121,0.1152,0.035,0.4836,9,0.1307,1
M-02001,92.6442,1222.3865,0.1017,0.0225,1273,0.1439,0.0985,0.6929,5,0.3108,0
M-02002,64.0743,1002.1061,0.0536,0.0078,486,0.0774,0.0332,0.6403,7,0.1317,1
M-02003,63.0847,245.5296,0.0106,0.0033,514,0.1321,0.1032,0.6169,1,0.0079,0
M-02004,1.0,587.6568,0.0339,0.0077,403,0.0829,0.0258,0.6129,11,0.1546,1
M-02005,22.691,832.471,0.0779,0.0112,77,0.0824,0.1028,0.58,2,0.0947,0
M-02006,106.7171,1080.2285,0.0982,0.0188,436,0.1215,0.0721,0.622,4,0.3408,1
M-02007,16.5208,1158.0963,0.0309,0.0144,30,0.2286,0.104,0.6989,4,0.1444,1
M-02008,46.1573,1111.6459,0.0371,0.0073,1123,0.0151,0.0544,0.4928,1,0.0071,1
M-02009,21.3162,530.1903,0.0256,0.0114,639,0.0408,0.0666,0.4244,5,0.0837,1
M-02010,74.8043,1093.078,0.0517,0.014,194,0.0401,0.0573,0.4247,7,0.0199,0
M-02011,67.4282,410.2978,0.01,0.0035,1015,0.1257,0.0901,0.5677,5,0.0081,0
M-02012,45.8001,1142.747,0.0114,0.0062,30,0.0196,0.0331,0.6556,6,0.1124,0
M-02013,31.7408,611.2089,0.0165,0.0097,1149,0.1251,0.0414,0.3906,1,0.0583,1
M-02014,4.7073,754.6717,0.0341,0.0069,427,0.0105,0.0924,0.4193,2,0.0384,0
M-02015,33.6913,729.0137,0.02,0.0089,350,0.0905,0.0572,0.5746,7,0.0975,1
M-02016,46.4812,871.6837,0.0292,0.0035,451,0.0411,0.0401,0.6789,2,0.0076,0
M-02017,36.0517,332.4078,0.0658,0.0053,629,0.2668,0.134,0.6566,1,0.2047,1
M-02018,51.8927,1059.8393,0.0487,0.0079,431,0.0339,0.068,0.7365,3,0.0324,0
M-02019,52.8689,870.0082,0.1082,0.0045,30,0.2151,0.1201,0.7763,6,0.0619,1
M-02020,72.7672,788.8293,0.0445,0.0156,380,0.1012,0.1406,0.8958,1,0.3345,1
M-02021,66.321,1219.9506,0.0891,0.0038,30,0.2017,0.2117,0.6446,11,0.3469,1
M-02022,62.846,929.0652,0.0506,0.0029,1163,0.0535,0.1093,0.8145,5,0.0636,1
M-02023,102.195,1318.1084,0.0981,0.0208,779,0.3161,0.1578,0.7079,2,0.2502,1
M-02024,51.2366,808.5753,0.0307,0.0012,1039,0.1442,0.1259,0.5859,6,0.1057,0
M-02025,54.8475,1244.6525,0.0263,0.0038,650,0.1489,0.0512,0.7101,7,0.081,0
M-02026,46.3492,965.791,0.0788,0.0033,354,0.051,0.0668,0.4554,3,0.0473,0
M-02027,76.7907,563.5686,0.1015,0.0167,340,0.1992,0.1955,0.6905,11,0.2914,1
M-02028,90.3797,530.4803,0.096,0.0248,457,0.1247,0.1422,0.4654,8,0.167,1
M-02029,50.3119,884.0183,0.06,0.0058,300,0.0197,0.0901,0.1,5,0.1397,0
M-02030,39.6137,1059.3922,0.069,0.0119,1020,0.0553,0.0761,0.7585,6,0.1358,0
M-02031,40.6433,1122.2318,0.1067,0.0134,1100,0.1069,0.0481,0.6754,3,0.1049,1
M-02032,89.3119,897.6268,0.0185,0.0144,838,0.0347,0.0641,0.6452,1,0.1331,0
M-02033,84.0717,964.4059,0.0684,0.0143,166,0.0256,0.0532,0.4149,5,0.0414,0
M-02034,52.8737,946.279,0.0326,0.0023,505,0.1024,0.0928,0.2118,7,0.1279,0
M-02035,65.0274,1117.4032,0.0694,0.0034,1220,0.0921,0.0735,0.431,4,0.0083,0
M-02036,62.3309,760.7872,0.0736,0.003,942,0.0063,0.0977,0.5036,2,0.0978,0
M-02037,60.1681,480.0696,0.0139,0.008,1122,0.0601,0.0931,0.5492,2,0.0246,0
M-02038,43.4381,1179.695,0.0198,0.0071,1367,0.1047,0.0351,0.4153,2,0.0828,0
M-02039,75.9131,1533.1259,0.033,0.0052,429,0.0819,0.0711,0.5709,2,0.1342,1
M-02040,54.7876,325.8335,0.0426,0.0056,1076,0.0845,0.0889,0.2887,6,0.067,1
M-02041,60.2032,669.8843,0.0799,0.0133,1003,0.117,0.0457,0.6399,4,0.0908,0
